fold,train_total,train_positive,train_negative,train_pos_ratio,train_neg_ratio,test_total,test_positive,test_negative,test_pos_ratio,test_neg_ratio
1,5938,393,5545,6.618390030313237,93.38160996968676,1479,97,1382,6.558485463150777,93.44151453684923
2,5932,399,5533,6.726230613621039,93.27376938637896,1485,91,1394,6.127946127946128,93.87205387205387
3,5938,376,5562,6.3320983496126635,93.66790165038734,1479,114,1365,7.707910750507099,92.2920892494929
4,5938,395,5543,6.652071404513304,93.34792859548669,1479,95,1384,6.423258958755916,93.57674104124408
5,5922,397,5525,6.703816278284363,93.29618372171564,1495,93,1402,6.220735785953177,93.77926421404682
